exp,kind,desc,cv_acc,cv_f1m,cv_f1m_std,cv_prec,cv_rec,cv_auc,train_f1m,te_acc,te_f1m,te_prec,te_rec,te_auc
EXP-01,Baseline,TF-IDF(word 1-2gram) + LogisticRegression,0.8187127024722933,0.47951160950248284,0.039392055034239364,0.4,0.03205128205128205,0.9487254412254412,0.5985479426544067,0.8508771929824561,0.618128078817734,1.0,0.19047619047619047,0.9564772145417306
EXP-02,ML,TF-IDF(char_wb 2-5gram) + LogisticRegression,0.8245950554134698,0.5095491183084843,0.031004133112209096,0.8,0.06282051282051282,0.9723763736263736,0.6903160499187176,0.8333333333333334,0.5406150583244963,1.0,0.09523809523809523,0.9902713773681515
EXP-03,ML,TF-IDF(word+char union) + LogisticRegression,0.8683290707587382,0.6986819735426308,0.07352304255845163,0.9,0.3269230769230769,0.969802281052281,0.9443271720588815,0.9122807017543859,0.8182397959183674,1.0,0.5238095238095238,0.9866871479774705
EXP-04,ML,TF-IDF(word) + LinearSVC,0.8974850809889172,0.8205158408718989,0.06748527788241326,0.7472727272727273,0.6705128205128206,0.9572202797202799,0.9951976526797214,0.9210526315789473,0.8710245128849781,0.7727272727272727,0.8095238095238095,0.9605734767025089
EXP-05,ML,TF-IDF(word) + XGBoost,0.8625319693094629,0.754189644658988,0.03845222831756952,0.6655555555555556,0.5448717948717949,0.8791250416250417,0.975154106210088,0.868421052631579,0.758030281590491,0.6875,0.5238095238095238,0.9254992319508448
EXP-06,ML,"TF-IDF(word+char) + LogReg, class_weight=balanced",0.9181159420289855,0.8783950523692947,0.01989801901545671,0.7220098039215685,0.9217948717948719,0.9706414418914419,0.9800829927513582,0.9122807017543859,0.8719101123595505,0.6896551724137931,0.9523809523809523,0.9871991807475679
EXP-09,누수 상한,block_type + token_cnt 만 (본문 미사용),0.7164535379369139,0.6000065212565213,0.05946184433742688,0.322311661506708,0.4871794871794871,0.7369366050616051,0.6157869791432351,0.7543859649122807,0.6512237762237763,0.3870967741935484,0.5714285714285714,0.7862263184843831
EXP-07,Ablation,본문 + block_type + token_cnt (누수 피처 투입),0.9092497868712701,0.8557798837242458,0.06269306941899519,0.722905982905983,0.8282051282051281,0.9619555444555445,0.9493426906972365,0.9210526315789473,0.8830236005016532,0.7142857142857143,0.9523809523809523,0.9810547875064004
